stateName,agencyName,year,totalSpending,prevTotalSpending,yoyPCT
Alaska,Office of Personnel Management,2019,91137,NULL,NULL
Alaska,Office of Personnel Management,2021,0,91137,-100
Alaska,Office of Personnel Management,2025,2737182.58,0,NULL
Alaska,Pension Benefit Guaranty Corporation,2023,53498656.92,NULL,NULL
Alaska,Pension Benefit Guaranty Corporation,2025,170263007.5,53498656.92,218.256601
Alaska,Railroad Retirement Board,2019,3981939.12,NULL,NULL
Alaska,Railroad Retirement Board,2020,4497508.46,3981939.12,12.947695
Alaska,Railroad Retirement Board,2021,4401011.91,4497508.46,-2.145555
Alaska,Railroad Retirement Board,2022,4062674.16,4401011.91,-7.687726
Alaska,Railroad Retirement Board,2023,4429970.48,4062674.16,9.040752
Alaska,Railroad Retirement Board,2024,4396392.15,4429970.48,-0.75798
Alaska,Railroad Retirement Board,2025,4517409.33,4396392.15,2.752647
Alaska,Small Business Administration,2019,8245528.76,NULL,NULL
Alaska,Small Business Administration,2020,1427274950,8245528.76,17209.68372
Alaska,Small Business Administration,2021,898726049.9,1427274950,-37.03203
Alaska,Small Business Administration,2022,76556358.54,898726049.9,-91.48168
Alaska,Small Business Administration,2023,0,76556358.54,-100
Alaska,Small Business Administration,2024,17490138.62,0,NULL
Alaska,Small Business Administration,2025,4932714.9,17490138.62,-71.797165
Alaska,Social Security Administration,2019,1678245715,NULL,NULL
Alaska,Social Security Administration,2020,1797063965,1678245715,7.079907
Alaska,Social Security Administration,2021,1898043302,1797063965,5.619128
Alaska,Social Security Administration,2022,2079098272,1898043302,9.539032
Alaska,Social Security Administration,2023,2316473453,2079098272,11.417217
Alaska,Social Security Administration,2024,2498876841,2316473453,7.874184
Alaska,Social Security Administration,2025,2752383081,2498876841,10.144807
Alaska,U.S. Agency for Global Media,2022,52390,NULL,NULL
Alaska,U.S. Agency for Global Media,2023,0,52390,-100
Alaska,U.S. Agency for Global Media,2024,0,0,NULL
Alaska,U.S. Agency for Global Media,2025,0,0,NULL
American Samoa,Department of Education,2018,19200758.65,NULL,NULL
American Samoa,Department of Education,2019,40553135.31,19200758.65,111.205901
American Samoa,Department of Education,2020,87202763.39,40553135.31,115.033345
American Samoa,Department of Education,2021,439232994.2,87202763.39,403.6916
American Samoa,Department of Education,2022,42064623.14,439232994.2,-90.423164
American Samoa,Department of Education,2023,47206793.15,42064623.14,12.224452
American Samoa,Department of Education,2024,48191989.07,47206793.15,2.086979
American Samoa,Department of Education,2025,47581337.19,48191989.07,-1.267123
American Samoa,Department of Energy,2018,440216,NULL,NULL
American Samoa,Department of Energy,2019,658806,440216,49.655169
American Samoa,Department of Energy,2020,512723,658806,-22.173902
American Samoa,Department of Energy,2021,508668,512723,-0.790875
American Samoa,Department of Energy,2022,892128,508668,75.385123
American Samoa,Department of Energy,2023,4596029,892128,415.175961
American Samoa,Department of Energy,2024,3553395.5,4596029,-22.685529
American Samoa,Department of Energy,2025,55200098.5,3553395.5,1453.446513
American Samoa,Department of Veterans Affairs,2018,3138106.26,NULL,NULL
American Samoa,Department of Veterans Affairs,2019,1693243.6,3138106.26,-46.042502
American Samoa,Department of Veterans Affairs,2020,1566712.83,1693243.6,-7.472685
American Samoa,Department of Veterans Affairs,2021,1673283.87,1566712.83,6.802206
American Samoa,Department of Veterans Affairs,2022,584014.25,1673283.87,-65.097718
American Samoa,Department of Veterans Affairs,2023,2300274.09,584014.25,293.872938
American Samoa,Department of Veterans Affairs,2024,1786765.18,2300274.09,-22.323814
American Samoa,Department of Veterans Affairs,2025,296029.12,1786765.18,-83.432119
American Samoa,Election Assistance Commission,2018,600000,NULL,NULL
American Samoa,Election Assistance Commission,2020,1200000,600000,100
American Samoa,Election Assistance Commission,2022,200000,1200000,-83.333333
American Samoa,Election Assistance Commission,2024,400000,200000,100
American Samoa,Election Assistance Commission,2025,54545,400000,-86.36375
American Samoa,Environmental Protection Agency,2018,16096100.58,NULL,NULL
American Samoa,Environmental Protection Agency,2019,15112861,16096100.58,-6.108557
American Samoa,Environmental Protection Agency,2020,15662752.34,15112861,3.638565
American Samoa,Environmental Protection Agency,2021,14971204.17,15662752.34,-4.41524
